Product_id,Razón bloqueo,Nombre producto
1583187,Sin integración,Pan
1464314,Sin integración,Pan
1592,AON,Cebolla
4285,AON,Lechuga costina
4946,AON,Limones
5894,AON,Naranjas de jugo
6668,AON,Papas medianas
66681,AON,Jamón pierna
67058,AON,Servilletas de papel
67118,AON,Pechuga de pollo deshuesada y sin piel
67500,AON,Tomate larga vida
67546,AON,Plátano
67592,AON,Naranja
67682,AON,Manzana verde exportación
67721,AON,Palta hass Extra granel
67853,AON,Pepino ensalada
67913,AON,Tomate romanita
68012,AON,Cilantro
68870,AON,Apio mata
68912,AON,Tomate cocktail
69339,AON,Pechuga de pavo cocida
69496,AON,Pechuga de pavo asada
76543,AON,Pan ciabatta artesanal
148660,AON,Zapallo camote
148676,AON,Espinaca
148677,AON,Lechuga escarola bolsa
148679,AON,Pimiento verde
231015,AON,Arándanos
319496,AON,Papas fritas rústicas con sal de mar
321536,AON,Queso mantecoso laminado
336338,AON,Mantequilla con sal
336344,AON,Bebida zero
336358,AON,Servilletas de mesa
336446,AON,Pan blanco grande XL
336477,AON,Toalla de papel Ultra
336659,AON,Cebolla
336661,AON,Bebida sin azúcar
336664,AON,Frutillas
336669,AON,Salsa de tomate italiana
336870,AON,Yogur griego Oikos natural no endulzado
336871,AON,Leche descremada
336873,AON,Filetitos de pechuga de pollo congelados
337051,AON,Toalla de Papel para Cocina
337053,AON,Mantequilla con sal
337290,AON,Cebollín
337402,AON,Arroz grado 1 grano largo-ancho
338442,AON,Choclo en grano congelado
339866,AON,Pechuga de pavo cocida corte pluma
340270,AON,Azúcar blanca granulada
342584,AON,Queso mantecoso laminado
359291,AON,Palta hass
375906,AON,Filetitos pollo
376521,AON,Pan molde perfecto blanco
379086,AON,Yoghurt proteína sabor natural endulzado
380660,AON,Papas fritas artesanas sal
389171,AON,Lomitos de atún en agua
431595,AON,Agua purificada sin gas
588338,AON,Bebida sabor light
605542,AON,Champiñones enteros
605544,AON,Zapallo italiano
934672,AON,Galletas saladas sabor original
1388376,AON,Zanahoria
1850337,AON,Lechuga española
1918770,AON,Manzana fuji
1988367,AON,Brócoli
1992949,AON,Kiwi exportación
2045388,AON,Mandarinas
2219121,AON,Pera packham
2220520,AON,Carne molida magra 3% grasa
2260441,AON,Carne molida vacuno 5% grasa
2936359,AON,Marraqueta precocida
2936507,AON,Hallulla precocida
3313379,AON,Marraqueta grande
3533509,AON,Lechuga hidropónica española
3701252,AON,Pimiento rojo extra
4030178,AON,Palta hass extra chilena
1606,Tiene 2 SKU,
1964,Tiene 2 SKU,
2247,Tiene 2 SKU,
2290,Tiene 2 SKU,
2381,Tiene 2 SKU,
2454,Tiene 2 SKU,
2801,Tiene 2 SKU,
2967,Tiene 2 SKU,
3180,Tiene 2 SKU,
4122,Tiene 2 SKU,
5485,Tiene 2 SKU,
7490,Tiene 2 SKU,
68395,Tiene 2 SKU,
68870,Tiene 2 SKU,
70259,Tiene 2 SKU,
71679,Tiene 2 SKU,
71680,Tiene 2 SKU,
73279,Tiene 2 SKU,
75968,Tiene 2 SKU,
82128,Tiene 2 SKU,
82165,Tiene 2 SKU,
82438,Tiene 3 SKU,
82765,Tiene 2 SKU,
88583,Tiene 2 SKU,
147275,Tiene 2 SKU,
147800,Tiene 2 SKU,
148135,Tiene 2 SKU,
148679,Tiene 2 SKU,
148745,Tiene 2 SKU,
219606,Tiene 2 SKU,
227248,Tiene 2 SKU,
228295,Tiene 2 SKU,
229528,Tiene 2 SKU,
229945,Tiene 2 SKU,
231292,Tiene 2 SKU,
245131,Tiene 2 SKU,
273190,Tiene 2 SKU,
320451,Tiene 2 SKU,
333398,Tiene 2 SKU,
336477,Tiene 2 SKU,
336510,Tiene 2 SKU,
336561,Tiene 2 SKU,
337203,Tiene 2 SKU,
337352,Tiene 2 SKU,
337426,Tiene 2 SKU,
337456,Tiene 2 SKU,
337529,Tiene 2 SKU,
338923,Tiene 2 SKU,
338997,Tiene 2 SKU,
339056,Tiene 2 SKU,
